iter	Passed	Remaining
0	59	59824
1	60	30001
2	60	20052
3	60	15082
4	60	12097
5	61	10108
6	61	8689
7	61	7621
8	61	6791
9	61	6128
10	62	5585
11	62	5132
12	62	4748
13	62	4419
14	62	4134
15	63	3884
16	63	3665
17	63	3469
18	63	3294
19	64	3136
20	64	2994
21	64	2865
22	64	2746
23	64	2638
24	65	2538
25	65	2446
26	65	2361
27	65	2281
28	65	2207
29	66	2139
30	66	2074
31	66	2014
32	66	1957
33	67	1903
34	67	1853
35	67	1805
36	67	1760
37	67	1718
38	68	1677
39	68	1639
40	68	1602
41	68	1566
42	68	1533
43	69	1501
44	69	1470
45	69	1441
46	69	1413
47	69	1386
48	70	1360
49	70	1335
50	70	1312
51	70	1289
52	70	1267
53	71	1245
54	71	1225
55	71	1205
56	71	1186
57	71	1168
58	72	1150
59	72	1133
60	72	1116
61	72	1100
62	72	1085
63	73	1070
64	73	1055
65	73	1041
66	73	1027
67	73	1012
68	74	999
69	74	986
70	74	974
71	74	961
72	74	950
73	75	938
74	75	927
75	75	918
76	75	907
77	75	897
78	76	887
79	76	877
80	76	868
81	76	858
82	76	849
83	77	840
84	77	830
85	77	822
86	77	813
87	77	805
88	77	797
89	78	789
90	78	782
91	78	774
92	78	767
93	78	760
94	79	753
95	79	746
96	79	739
97	79	733
98	79	727
99	80	720
100	80	714
101	80	707
102	80	701
103	80	695
104	80	689
105	81	684
106	81	678
107	81	673
108	81	668
109	81	662
110	82	657
111	82	653
112	82	648
113	82	643
114	82	638
115	83	633
116	83	628
117	83	624
118	83	619
119	83	614
120	84	610
121	84	606
122	84	601
123	84	596
124	84	592
125	84	588
126	85	584
127	85	580
128	85	576
129	85	572
130	85	569
131	85	565
132	86	561
133	86	558
134	86	554
135	86	551
136	86	547
137	87	543
138	87	540
139	87	537
140	87	534
141	87	530
142	88	527
143	88	524
144	88	521
145	88	518
146	88	515
147	89	512
148	89	509
149	89	506
150	89	503
151	89	500
152	89	498
153	90	495
154	90	492
155	90	489
156	90	487
157	90	484
158	91	482
159	91	479
160	91	477
161	91	474
162	91	472
163	92	469
164	92	467
165	92	464
166	92	462
167	92	459
168	93	457
169	93	455
170	93	453
171	93	450
172	93	448
173	94	446
174	94	444
175	94	442
176	94	440
177	94	438
178	95	436
179	95	434
180	95	431
181	95	429
182	95	427
183	95	425
184	96	423
185	96	421
186	96	419
187	96	417
188	96	415
189	97	414
190	97	412
191	97	410
192	97	408
193	97	406
194	98	404
195	98	403
196	98	401
197	98	399
198	98	398
199	99	396
200	99	394
201	99	392
202	99	391
203	99	389
204	100	388
205	100	386
206	100	384
207	100	383
208	100	381
209	101	380
210	101	378
211	101	377
212	101	375
213	101	373
214	102	372
215	102	371
216	102	369
217	102	368
218	102	366
219	103	365
220	103	363
221	103	362
222	103	360
223	103	359
224	103	358
225	104	356
226	104	355
227	104	354
228	104	352
229	104	351
230	105	350
231	105	348
232	105	347
233	105	346
234	105	344
235	106	343
236	106	342
237	106	341
238	106	339
239	106	338
240	107	337
241	107	335
242	107	334
243	107	333
244	107	332
245	108	331
246	108	329
247	108	328
248	108	327
249	108	326
250	108	325
251	109	323
252	109	322
253	109	321
254	109	320
255	109	319
256	110	318
257	110	317
258	110	316
259	110	315
260	110	313
261	111	312
262	111	311
263	111	310
264	111	309
265	111	308
266	112	307
267	112	306
268	112	305
269	112	304
270	112	303
271	112	302
272	113	301
273	113	300
274	113	299
275	113	298
276	113	297
277	114	296
