iter	Passed	Remaining
0	55	55693
1	55	27923
2	56	18677
3	56	14049
4	56	11285
5	56	9434
6	57	8109
7	57	7115
8	57	6344
9	57	5725
10	58	5218
11	58	4795
12	58	4437
13	58	4129
14	58	3862
15	59	3629
16	59	3424
17	59	3242
18	59	3078
19	59	2931
20	60	2798
21	60	2677
22	60	2567
23	60	2466
24	60	2373
25	61	2287
26	61	2209
27	61	2135
28	61	2066
29	61	2001
30	62	1941
31	62	1885
32	62	1832
33	62	1783
34	62	1735
35	63	1691
36	63	1649
37	63	1609
38	63	1572
39	64	1536
40	64	1504
41	64	1472
42	64	1441
43	64	1411
44	65	1383
45	65	1355
46	65	1329
47	65	1304
48	66	1281
49	66	1258
50	66	1236
51	66	1214
52	66	1193
53	67	1174
54	67	1155
55	67	1136
56	67	1118
57	67	1101
58	68	1084
59	68	1068
60	68	1053
61	68	1038
62	68	1024
63	69	1009
64	69	996
65	69	982
66	69	970
67	69	957
68	70	945
69	70	933
70	70	922
71	70	910
72	70	901
73	71	890
74	71	880
75	71	870
76	71	860
77	71	851
78	72	841
79	72	832
80	72	823
81	72	814
82	72	804
83	73	796
84	73	788
85	73	780
86	73	773
87	73	765
88	74	758
89	74	750
90	74	743
91	74	736
92	74	729
93	75	723
94	75	716
95	75	710
96	75	704
97	75	698
98	76	692
99	76	686
100	76	680
101	76	674
102	76	669
103	77	663
104	77	658
105	77	653
106	77	648
107	77	642
108	78	637
109	78	632
110	78	628
111	78	623
112	78	618
113	78	613
114	79	609
115	79	604
116	79	599
117	79	595
118	79	591
119	80	587
120	80	582
121	80	578
122	80	574
123	80	570
124	80	566
125	81	563
126	81	559
127	81	555
128	81	551
129	81	548
130	82	544
131	82	541
132	82	537
133	82	534
134	82	530
135	83	527
136	83	524
137	83	521
138	83	518
139	83	514
140	84	511
141	84	508
142	84	505
143	84	502
144	84	499
145	84	496
146	85	493
147	85	491
148	85	488
149	85	485
150	85	482
151	86	480
152	86	477
153	86	475
154	86	472
155	86	470
156	87	467
157	87	465
158	88	466
159	88	463
160	88	460
161	88	458
162	88	456
163	89	453
164	89	451
165	89	449
166	89	447
167	89	444
168	90	442
169	90	440
170	90	438
171	90	436
172	90	434
173	91	432
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	420
180	92	418
181	92	416
182	92	414
183	93	412
184	93	410
185	93	408
186	93	406
187	93	405
188	94	403
189	94	401
190	94	399
191	94	398
192	94	396
193	94	394
194	95	392
195	95	391
196	95	389
197	95	387
198	95	386
199	96	384
200	96	383
201	96	381
202	96	380
203	96	378
204	97	376
205	97	375
206	97	373
207	97	372
208	97	370
209	98	369
210	98	367
211	98	366
212	98	364
213	98	363
214	99	361
215	99	360
216	99	359
217	99	357
218	99	356
219	100	354
220	100	353
221	100	352
222	100	350
223	100	349
224	101	348
225	101	347
226	101	346
227	101	344
228	102	344
229	102	342
230	102	341
231	102	340
232	103	339
233	103	337
234	103	336
235	103	335
236	103	334
237	104	333
238	104	332
239	104	330
240	104	329
241	104	328
242	105	327
243	105	326
244	105	325
245	105	323
246	105	322
247	106	321
248	106	320
249	106	319
250	106	318
251	106	317
252	107	315
253	107	314
254	107	313
255	107	312
256	107	311
257	107	310
258	108	309
259	108	308
260	108	307
261	108	306
262	108	305
263	109	304
264	109	303
265	109	302
266	109	301
267	110	301
268	110	300
269	110	299
270	111	298
271	111	297
272	111	296
273	111	295
274	111	294
275	111	293
276	112	292
277	112	291
278	112	290
279	112	289
280	112	288
281	113	288
282	113	287
283	113	286
284	113	285
285	113	284
286	114	283
287	114	282
288	114	281
289	114	280
290	114	279
291	115	279
292	115	278
293	115	277
294	115	276
295	115	275
296	116	274
297	116	274
298	116	273
299	116	272
300	116	271
301	117	270
302	117	270
303	117	269
304	117	268
305	118	267
306	118	266
307	118	266
308	118	265
309	118	264
310	119	263
311	119	262
312	119	262
313	119	261
314	119	260
315	120	259
316	120	259
317	120	258
318	120	257
319	120	256
320	121	256
321	121	255
322	121	254
323	121	253
324	121	253
325	122	252
326	122	251
327	122	250
328	122	250
329	122	249
330	123	248
331	123	248
332	123	247
333	123	246
334	123	245
335	124	245
336	124	244
337	124	244
338	124	243
339	125	242
340	125	241
341	125	241
342	125	240
343	125	239
344	126	239
345	126	238
346	126	238
347	126	237
348	126	236
349	127	236
350	127	235
351	127	235
352	127	234
353	128	233
354	128	233
355	128	232
356	128	232
357	129	231
358	129	230
359	129	230
360	129	229
361	129	229
362	130	228
363	130	227
364	130	227
365	130	226
366	130	225
367	131	225
368	131	224
369	131	224
370	131	223
371	132	222
372	132	222
373	132	221
374	132	221
375	132	220
376	132	219
377	133	219
378	133	218
379	133	217
380	133	217
381	133	216
382	134	216
383	134	215
384	134	215
385	134	214
386	135	213
387	135	213
388	135	212
389	135	212
390	135	211
391	136	211
392	136	210
393	136	209
394	136	209
395	136	208
396	137	208
397	137	207
398	137	207
399	137	206
400	137	205
401	138	205
402	138	205
403	138	204
404	138	203
405	139	203
406	139	202
407	139	202
408	139	201
409	139	201
410	140	200
411	140	200
412	140	199
413	140	199
414	140	198
415	140	197
416	141	197
417	141	196
418	141	196
419	141	195
420	141	195
421	142	194
422	142	194
423	142	193
424	142	193
425	142	192
426	143	192
427	143	191
428	143	191
429	143	190
430	143	190
431	144	189
432	144	189
433	144	188
434	144	187
435	144	187
436	145	186
437	145	186
438	145	185
439	145	185
440	145	184
441	146	184
442	146	183
443	146	183
444	146	182
445	146	182
446	147	182
447	147	181
448	147	181
449	147	180
450	147	180
451	148	179
452	148	179
453	148	178
454	148	178
455	148	177
456	149	177
457	149	176
458	149	176
459	149	175
460	149	175
461	150	174
462	150	174
463	150	173
464	150	173
465	150	172
466	151	172
467	151	171
468	151	171
469	151	171
470	151	170
471	152	170
472	152	169
473	152	169
474	152	168
475	152	168
476	152	167
477	153	167
478	153	166
479	153	166
480	153	165
481	153	165
482	154	164
483	154	164
484	154	164
485	154	163
486	154	163
487	155	162
488	155	162
489	155	161
490	155	161
491	155	161
492	156	160
493	156	160
494	156	159
495	156	159
496	156	158
497	157	158
498	157	157
499	157	157
500	157	156
501	157	156
502	157	156
503	158	155
504	158	155
505	158	154
506	158	154
507	158	153
508	159	153
509	159	153
510	159	152
511	159	152
512	159	151
513	160	151
514	160	150
515	160	150
516	160	150
517	160	149
518	161	149
519	161	148
520	161	148
521	161	148
522	161	147
523	162	147
524	162	146
525	162	146
526	162	146
527	162	145
528	163	145
529	163	144
530	163	144
531	163	144
532	163	143
533	164	143
534	164	142
535	164	142
536	164	141
537	164	141
538	165	141
539	165	140
540	165	140
541	165	139
542	165	139
543	166	139
544	166	138
545	166	138
546	166	137
547	166	137
548	167	137
549	167	136
550	167	136
551	167	136
552	167	135
553	167	135
554	168	134
555	168	134
556	168	134
557	168	133
558	168	133
559	169	132
560	169	132
561	169	132
562	169	131
563	169	131
564	170	130
565	170	130
566	170	130
567	170	129
568	170	129
569	171	129
570	171	128
571	171	128
572	171	127
573	171	127
574	172	127
575	172	126
576	172	126
577	172	126
578	173	125
579	173	125
580	173	125
581	173	124
582	173	124
583	174	123
584	174	123
585	174	123
586	174	122
587	174	122
588	175	122
589	175	121
590	175	121
591	175	121
592	175	120
593	175	120
594	176	119
595	176	119
596	176	119
597	176	118
598	176	118
599	177	118
600	177	117
601	177	117
602	177	116
603	177	116
604	178	116
605	178	115
606	178	115
607	178	115
608	178	114
609	179	114
610	179	114
611	179	113
612	179	113
613	179	113
614	180	112
615	180	112
616	180	112
617	180	111
618	181	111
619	181	111
620	181	110
621	181	110
622	182	110
623	182	109
624	182	109
625	182	109
626	182	108
627	183	108
628	183	108
629	183	107
630	183	107
631	183	107
632	184	106
633	184	106
634	184	106
635	184	105
636	184	105
637	185	105
638	185	104
639	185	104
640	185	104
641	185	103
642	186	103
643	186	102
644	186	102
645	186	102
646	186	101
647	187	101
648	187	101
649	187	100
650	187	100
651	187	100
652	188	99
653	188	99
654	188	99
655	188	98
656	188	98
657	189	98
658	189	97
659	189	97
660	189	97
661	189	96
662	190	96
663	190	96
664	190	95
665	190	95
666	190	95
667	191	94
668	191	94
669	191	94
670	191	93
671	191	93
672	192	93
673	192	93
674	192	92
675	192	92
676	192	92
677	193	91
678	193	91
679	193	91
680	193	90
681	193	90
682	194	90
683	194	89
684	194	89
685	194	89
686	194	88
687	195	88
688	195	88
689	195	87
690	195	87
691	195	87
692	196	86
693	196	86
694	196	86
695	196	85
696	196	85
697	197	85
698	197	84
699	197	84
700	197	84
701	197	83
702	198	83
